Proxy address:port;Proxy type;Anonymity*;Country (city);Hostname;Latency**;Speed***;Uptime;Check date (GMT+04)
1 83.231.34.133:80;HTTP (NetCache);NOA;Spain (Jávea);83.231.34.133;0.403;;91% (368) -;31-may-2017 16:50 (1 hours ago)
2 178.60.28.98:9999;HTTP;ANM;Spain;98.28.60.178.unassigned.reverse-mundo-r.com;11.631;;70% (109) -;31-may-2017 14:48 (3 hours ago)
3 212.142.175.69:8080;HTTPS (Mikrotik);NOA;Spain;69.212-142-175.static.clientes.euskaltel.es;15.064;;41% (14) -;31-may-2017 13:19 (4 hours ago)
4 213.27.152.15:3128;HTTP;NOA;Spain (Barcelona) !!!;213.27.152.15;4.811;;44% (292) +;31-may-2017 11:27 (6 hours ago)
5 83.231.34.192:80;HTTP (NetCache);NOA;Spain (Jávea) !!!;83.231.34.192;3.092;;97% (34) -;31-may-2017 09:50 (8 hours ago)
6 80.34.223.19:3128;HTTP (Squid);NOA;Spain (Náquera);19.red-80-34-223.staticip.rima-tde.net;14.709;;48% (197) -;31-may-2017 09:48 (8 hours ago)
7 5.134.116.208:8081;HTTP;NOA;Spain (Alicante);es.martinandrino.com;0.24;;50% (2) +;31-may-2017 06:38 (11 hours ago)
8 83.231.34.132:3128;HTTP (NetCache);NOA;Spain (Jávea);83.231.34.132;2.967;;93% (434) -;31-may-2017 04:51 (13 hours ago)
9 94.23.81.70:8080;HTTP;HIA;Spain;94.23.81.70;9.869;;26% (39) +;31-may-2017 04:32 (13 hours ago)
10 80.25.87.89:8080;HTTPS (Mikrotik);NOA;Spain (Madrid);89.red-80-25-87.staticip.rima-tde.net;2.38;;48% (42) -;30-may-2017 21:30 (20 hours ago)
11 83.38.213.131:8080;HTTPS (Mikrotik);NOA;Spain (Granada);131.red-83-38-213.dynamicip.rima-tde.net;7.365;;75% (6) -;30-may-2017 16:16 (1 days ago)
12 212.63.96.26:8080;HTTPS (Mikrotik);NOA;Spain (Sóller);212-63-96-26.static.electricasollerense.es;4.743;;78% (7) -;30-may-2017 14:28 (1 days ago)
13 181.199.202.248:80;HTTPS (Mikrotik);NOA;Spain (Madrid);181.199.202.248;0.996;;45% (26) +;30-may-2017 00:11 (1 days ago)
14 83.43.18.226:8080;HTTPS (Mikrotik);NOA;Spain (Palma De Mallorca);226.red-83-43-18.dynamicip.rima-tde.net;0.75;;new +;29-may-2017 15:31 (2 days ago)
15 83.231.34.193:3128;HTTP (NetCache);NOA;Spain (Jávea) !!!;83.231.34.193;5.877;;94% (283) -;29-may-2017 05:20 (2 days ago)
16 83.45.10.195:8080;HTTP (Mikrotik);NOA;Spain (Alicante);195.red-83-45-10.dynamicip.rima-tde.net;11.316;;71% (12) +;29-may-2017 04:09 (2 days ago)
17 217.126.5.224:8080;HTTPS (Mikrotik);NOA;Spain (Girona);224.red-217-126-5.staticip.rima-tde.net;15.075;;38% (12) -;29-may-2017 00:57 (2 days ago)
18 85.152.18.193:8080;HTTP;HIA;Spain (Gijón);cm-staticIP-85-152-18-193.telecable.es;11.54;;18% (13) -;28-may-2017 14:52 (3 days ago)
19 185.177.74.220:3128;HTTPS (Mikrotik);NOA;Spain (Montroy) !!!;185.177.74.220;14.54;;40% (8) +;28-may-2017 11:52 (3 days ago)
20 5.1.32.7:8080;HTTPS (Mikrotik);NOA;Spain (Roses) !!!;rpppoe.prisconetworks.com;4.089;;47% (9) +;27-may-2017 13:10 (4 days ago)
21 188.165.135.61:24631;HTTP;HIA;Spain;ip61.ip-188-165-135.eu;7.137;;13% (1) -;27-may-2017 10:40 (4 days ago)
22 181.199.202.248:8080;HTTP (Mikrotik);NOA;Spain (Madrid);181.199.202.248;4.436;;34% (20) +;27-may-2017 05:43 (4 days ago)
23 109.167.113.25:8080;HTTPS (Mikrotik);NOA;Spain (Alicante);109.167.113.25;8.721;;33% (1) -;26-may-2017 19:20 (4 days ago)
24 148.3.210.231:8080;HTTP (Squid);ANM;Spain (Oviedo);148.3.210.231;6.857;;20% (1) -;26-may-2017 16:27 (5 days ago)
25 5.1.32.38:8080;HTTP (Mikrotik);NOA;Spain (Roses);pn-32-38.prisconetworks.com;7.157;;33% (4) +;26-may-2017 12:37 (5 days ago)
26 83.61.22.207:8888;HTTP;HIA;Spain;207.red-83-61-22.staticip.rima-tde.net;12.112;;21% (3) -;26-may-2017 09:15 (5 days ago)
27 213.32.104.244:24631;HTTP;HIA;Spain;ip244.ip-213-32-104.eu;8.351;;14% (1) -;26-may-2017 07:15 (5 days ago)
28 91.121.243.89:9001;HTTPS;ANM;Spain;91.121.243.89;5.7;;39% (27) +;25-may-2017 20:06 (5 days ago)
29 94.23.81.70:8081;HTTP;HIA;Spain;94.23.81.70;15.647;;19% (13) +;24-may-2017 18:28 (6 days ago)
30 83.231.34.133:3128;HTTP (NetCache);NOA;Spain (Jávea);83.231.34.133;0.311;;96% (363) -;24-may-2017 14:35 (7 days ago)
